,date,retweet,text,,
67,Sep 30,False,"""My view is we are already great, and if we work together, we will become even greater in the years ahead.” —Hillary in Florida",,
68,Sep 30,False,"Trump admits he ""can't say"" he treats women with respect.https://amp.twimg.com/v/08853b75-592e-4220-8802-ab8fb2332f87 …",,
69,Sep 30,False,"While Donald continues day 5 of his Machado meltdown, we'll be in Florida talking about national service. You'll want to watch.",,
70,Sep 30,False,"Trump on equal pay: ""Do as good a job"" as men.

Abortion? Should be ""punished.""

Pregnancy? An ""inconvenience.""

Wives working? ""Dangerous.""",,
71,Sep 30,False,Trump obsessively bullies Rosie O'Donnell—an accomplished actor. He insulted Kim Kardashian for her weight—when she was pregnant. Pathetic.,,
72,Sep 30,False,"When something gets under Donald's thin skin, he lashes out and can't let go. This is dangerous for a president.",,
73,Sep 30,False,"Alicia deserves praise for courageously standing up to Trump's attacks. And he has the gall to blame her—and say he ""helped""?",,
74,Sep 30,False,What kind of man stays up all night to smear a woman with lies and conspiracy theories?,,
75,Sep 30,False,"This is...unhinged, even for Trump. A few notes.https://twitter.com/realDonaldTrump/status/781788223055994880 …",,
76,Sep 29,False,"""Men and women.
Young and old.
Gay and straight.
Native-born and immigrant.

That's who the hell we are.""  http://IWillVote.com  pic.twitter.com",,
77,Sep 29,False,"“This is not me just going through the motions here.

I really, really, really want to elect Hillary.” —@POTUS:  http://IWillVote.com  pic.twitter.com",,
78,Sep 29,False,"""I will not raise taxes on anyone making less than $250,000.” —Hillaryhttp://hrc.io/2dold5y ",,
79,Sep 29,False,"Born before women could vote, Ruline just cast her ballot for Hillary in Iowa today. Join her:  http://IWillVote.com  pic.twitter.com",,
80,Sep 29,False,"Barack&
Michelle&
Joe&
Bernie&
Elizabeth&
You?

 http://IWillVote.com  pic.twitter.com",,
81,Sep 29,False,"Trump appears to have broken the law and acted against our nation's interest, all so he could line his own pockets.  http://hrc.io/2dnPh1j  pic.twitter.com",,
82,Sep 29,False,The images from the train derailment in NJ are horrifying. My prayers are with those who lost loved ones and the dozens who were injured. -H,,
83,Sep 29,False,"Donald Trump may lie, but the tape doesn't. pic.twitter.com",,
84,Sep 28,False,"""Hillary will be a president our kids can look up to."" —@FLOTUS pic.twitter.com",,
85,Sep 28,False,"At Monday's debate, Trump denied saying a lot of the things he's said. Let's set the record straight. pic.twitter.com",,
