,date,retweet,text,,
109,Aug 18,False,#TBT: CARNIVALE IN BRAZIL  http://bit.ly/2bfz0sQ  pic.twitter.com,,
110,Aug 17,False,On set yesterday  pic.twitter.com,,
111,Aug 17,False,#FACTS: THE LATEST CRAZY HEADLINES: FACT OR FICTION?  http://bit.ly/2blt6rk  pic.twitter.com,,
112,Aug 16,False,Such a long work day today!!! What's everyone up to? I'm so tired,,
113,Aug 16,False,The first Saint Pablo ticket contest is LIVE!!!  http://bit.ly/2bu4t9v ,,
114,Aug 15,False,Today pic.twitter.com,,
115,Aug 15,False,Gonna live steam & tell u all about my shoot,,
116,Aug 15,False,Didn't think it would happen this soon...my baby girl stealing my shoes. At least she has good taste #Balenciaga  pic.twitter.com,,
117,Aug 15,False,What's everyone up to today?,,
118,Aug 15,False,NORTH’S FAVORITE SNACKS http://bit.ly/2aJL6Mz ,,
119,Aug 15,False,MY MIDDLE SCHOOL GRADUATION VIDEO  http://bit.ly/2b5RuMb  pic.twitter.com,,
120,Aug 14,False,Paxy has been doing audio on KUWTK from the beginning & ok she might be one of my faves lol Congrats on !!!! pic.twitter.com,,
121,Aug 13,False,Congrats to Erin & Stacy!!! pic.twitter.com,,
122,Aug 13,False,Omg we have them!!! Was trying to add a pic. They are so cute   https://twitter.com/kutienamekim/status/764605744717008896 …,,
123,Aug 13,False,Here's a pic from my new edition of SELFISH out in October. How sweet is my Saint at 2 months old & my little North pic.twitter.com,,
124,Aug 12,False,There's still time to vote!! Vote for Kanye to win #VideooftheYear for FAMOUS at the #VMAs  http://mtv.com/vma/vote/video … pic.twitter.com,,
125,Aug 12,False,I’M GIVING AWAY TICKETS TO THE SAINT PABLO TOUR!!! http://bit.ly/2b2lVmo ,,
126,Aug 12,False,New Selfish alert! 2 more chapters added! Dropping soon! pic.twitter.com,,
127,Aug 11,False,LOW-KEY CRUSH: SIMONE BILES http://bit.ly/2b4LX73 ,,
128,Aug 11,False,Sept Issue of Vogue @kendalljenner True fan girl moment seeing my sis achieve her goals to the highest #GenerationK pic.twitter.com,,
129,Aug 10,False,WHY KYLIE AND I GET ALONG SO WELL http://bit.ly/2aJPBnk ,,
130,Aug 10,False,KIMOJI KYLIE PHONE CASES AVAILABLE ONLY TODAY FOR HER BDAY!!!  http://bit.ly/2aLHYB7 ,,
